# Undirected graph (each unordered pair of nodes is saved once): data_created/graphs/user-user.txt
# User-user graph created using posts
# Nodes: 31834 Edges: 335739
# NodeId	NodeId
8	8
8	16
8	19
8	25
8	28
8	30
8	31
8	33
8	35
8	38
8	39
8	49
8	50
8	51
8	52
8	56
8	72
8	73
8	76
8	80
8	84
8	89
8	92
8	96
8	99
8	100
8	104
8	106
8	113
8	114
8	115
8	120
8	122
8	123
8	128
8	136
8	145
8	152
8	157
8	166
8	172
8	180
8	187
8	195
8	196
8	205
8	215
8	221
8	232
8	242
8	256
8	264
8	271
8	274
8	299
8	312
8	313
8	317
8	333
8	360
8	367
8	400
8	409
8	413
8	536
8	575
8	583
8	589
8	622
8	642
8	660
8	688
8	702
8	705
8	706
8	752
8	822
8	823
8	857
8	870
8	875
8	923
8	1069
8	1086
8	1154
8	1277
8	1295
8	1424
8	1457
8	1543
8	1650
8	1714
8	1828
8	1837
8	2048
8	2263
8	2370
8	2450
8	2538
8	2569
8	2612
8	2720
8	3036
8	3041
8	3195
8	3212
8	3467
8	3547
8	3783
8	4058
8	4253
8	4314
8	4603
8	4880
8	4934
8	5189
8	5203
8	5211
8	5952
8	6490
8	6509
8	7012
8	7635
8	7676
8	7933
8	8269
8	8297
8	8508
8	9003
8	9754
8	10513
8	11258
8	11667
8	11998
8	12507
8	12642
8	12715
8	12802
8	12952
8	13147
8	14972
8	16467
8	16497
8	16500
8	17556
8	17751
8	18432
8	18880
8	19379
8	19603
8	20321
8	21855
8	23350
8	23983
8	26944
8	28514
8	29507
8	29672
8	29966
8	29976
8	30953
8	32016
8	32940
8	37122
8	37293
8	38779
8	39174
8	39492
8	39599
8	39722
8	39930
8	40108
8	41434
8	42912
8	43179
8	45296
8	48510
8	52394
8	53268
8	55074
8	58529
8	60810
8	62839
8	66585
8	72030
8	75450
8	83966
8	84164
8	84942
8	85039
8	86013
8	88497
8	90313
8	92415
8	96577
8	98199
8	104171
8	114917
8	117203
8	128641
8	144542
8	149436
8	152568
8	159661
8	175024
8	198697
8	203547
8	221272
35	37
35	38
35	39
35	49
35	51
35	52
35	56
35	66
35	72
35	73
35	76
35	80
35	84
35	86
35	89
35	92
35	96
35	99
35	113
35	120
35	122
35	123
35	128
35	136
35	165
35	166
35	177
35	180
35	196
35	198
35	205
35	242
35	249
35	263
35	271
35	312
35	317
35	400
35	409
35	512
35	575
35	706
35	923
35	1069
35	1086
35	1424
35	1457
35	1770
35	1828
35	1837
35	2199
35	2263
35	2370
35	2450
35	2569
35	2612
35	3195
35	3467
35	3783
35	4314
35	4603
35	4934
35	5105
35	5952
35	7933
35	11619
35	12165
35	13147
35	14972
35	20321
35	23350
35	34262
35	53008
35	54050
35	59304
35	72030
35	86013
35	117203
35	128641
35	144542
35	146393
35	152568
35	159661
35	165855
35	170039
35	174221
35	190287
35	200622
33	33
33	35
33	39
33	49
33	99
33	825
33	3148
33	6179
33	6312
33	11667
33	12042
33	20413
33	117203
33	147810
33	152568
49	54
49	79
49	97
49	99
49	105
49	536
49	4284
49	17349
49	74105
49	117203
49	152568
25	25
25	33
25	35
25	39
25	49
25	96
25	99
25	122
25	128
25	176
25	221
25	232
25	233
25	263
25	297
25	331
25	413
25	448
25	536
25	622
25	630
25	699
25	822
25	1175
25	1312
25	1714
25	3163
25	4280
25	4414
25	5959
25	6312
25	7933
25	8512
25	9176
25	10927
25	11258
25	11753
25	12151
25	13130
25	14120
25	14890
25	14932
25	14972
25	21855
25	22437
25	25554
25	30711
25	83827
25	117203
25	119110
25	150001
25	152568
25	159653
25	237596
25	237900
39	49
39	99
39	117203
39	152568
99	99
99	100
99	113
99	115
99	121
99	122
99	123
99	128
99	136
99	160
99	171
99	172
99	173
99	191
99	196
99	198
99	205
99	219
99	232
99	242
99	247
99	251
99	263
99	272
99	295
99	314
99	317
99	327
99	333
99	360
99	400
99	423
99	448
99	467
99	498
99	505
99	536
99	586
99	666
99	688
99	705
99	774
99	823
99	917
99	923
99	930
99	1086
99	1369
99	1457
99	1585
99	1714
99	1828
99	1837
99	2199
99	2263
99	2317
99	2344
99	2450
99	2612
99	3195
99	3305
99	3467
99	3783
99	4314
99	4603
99	4934
99	5211
99	5952
99	7011
99	7012
99	7681
99	7933
99	9901
99	9921
99	10657
99	11260
99	11619
99	12165
99	13147
99	14972
99	15500
99	16500
99	17976
99	20321
99	23350
99	23983
99	31475
99	37293
99	53008
99	53268
99	72030
99	85161
99	87543
99	105963
99	114917
99	117203
99	123641
99	128641
99	141912
99	144542
99	152568
99	159661
99	160823
99	170600
99	174221
99	175024
99	190287
99	200622
99	221272
117203	152568
152568	152568
152568	152976
152568	153899
152568	154237
152568	155436
152568	155509
152568	157927
152568	159661
152568	159761
152568	160775
152568	165000
152568	166201
152568	166967
152568	169605
152568	169838
152568	219577
152568	233789
34	35
34	56
34	72
34	99
34	198
34	2199
34	53008
34	174221
34	190287
34	200622
56	56
56	72
56	73
56	76
56	84
56	86
56	89
56	92
56	99
56	104
56	106
56	113
56	144
56	195
56	198
56	205
56	226
56	227
56	232
56	242
56	247
56	251
56	271
56	313
56	333
56	346
56	360
56	400
56	409
56	498
56	505
56	506
56	536
56	619
56	688
56	705
56	752
56	823
56	832
56	851
56	870
56	1154
56	1195
56	1312
56	1417
56	1424
56	1770
56	1919
56	2109
56	2199
56	2263
56	4057
56	4743
56	5191
56	5952
56	6582
56	7012
56	7933
56	10689
56	11847
56	13147
56	14972
56	16339
56	16500
56	17142
56	23983
56	28900
56	33337
56	34262
56	34267
56	34869
56	36580
56	37293
56	52488
