# Undirected graph (each unordered pair of nodes is saved once): data_created_physics/graphs/user-user.txt
# User-user graph created using posts
# Nodes: 9903 Edges: 56885
# NodeId	NodeId
20	20
20	29
20	37
20	42
20	56
20	59
20	66
20	68
20	74
20	78
20	97
20	107
20	124
20	126
20	128
20	133
20	142
20	154
20	163
20	166
20	171
20	184
20	238
20	329
20	345
20	347
20	354
20	358
20	383
20	386
20	392
20	442
20	520
20	667
20	670
20	711
20	744
20	761
20	829
20	838
20	905
20	1236
20	1257
20	1287
20	1352
20	1390
20	1423
20	1469
20	1504
20	1588
20	3572
20	4191
20	4263
20	5873
20	6432
20	7743
20	7924
20	8075
20	8563
20	8944
20	9098
20	9375
20	9444
20	11517
20	30283
20	33844
20	35145
20	44257
20	75126
13	13
13	15
13	18
13	19
13	20
13	28
13	29
13	48
13	56
13	61
13	62
13	66
13	68
13	74
13	78
13	82
13	100
13	104
13	107
13	115
13	124
13	126
13	127
13	139
13	149
13	163
13	166
13	176
13	184
13	207
13	219
13	243
13	259
13	301
13	304
13	329
13	347
13	358
13	369
13	377
13	383
13	386
13	391
13	392
13	399
13	405
13	504
13	520
13	622
13	661
13	667
13	717
13	722
13	724
13	730
13	791
13	807
13	832
13	861
13	954
13	955
13	1123
13	1186
13	1228
13	1236
13	1255
13	1257
13	1268
13	1272
13	1275
13	1337
13	1341
13	1345
13	1352
13	1353
13	1383
13	1390
13	1391
13	1423
13	1462
13	1492
13	1495
13	1643
13	1648
13	1655
13	1708
13	2451
13	2599
13	2643
13	2752
13	2973
13	3253
13	3887
13	4014
13	4066
13	4552
13	4864
13	4926
13	5020
13	5732
13	7237
13	7571
13	7743
13	7793
13	7834
13	8007
13	8563
13	9098
13	10000
13	10048
13	11320
13	11517
13	11582
13	12998
13	16990
13	17035
13	24142
13	25867
13	36790
13	44849
13	52261
7743	7743
7743	7924
7743	7951
7743	8895
7743	9887
7743	10094
7743	10096
7743	10852
7743	11517
7743	12023
7743	14050
7743	27333
7743	31182
7743	34521
7743	38424
7743	42310
7743	45613
7743	50583
7743	55751
7743	71103
49	69
49	71
49	74
49	124
49	126
49	224
49	4864
69	71
69	74
69	79
69	166
69	377
69	392
69	1345
69	4864
71	71
71	78
71	126
71	155
71	329
71	335
71	898
71	1065
71	1228
71	1236
71	1268
71	1390
71	1460
71	1492
71	1560
71	1656
71	1761
71	4864
71	8143
71	11053
71	16660
71	20747
71	22731
71	24773
71	26076
71	27009
4864	4864
4864	4887
4864	4909
4864	4919
4864	4926
4864	4932
4864	4948
4864	4967
4864	4974
4864	4975
4864	4976
4864	4988
4864	5020
4864	5046
4864	5050
4864	5055
4864	5070
4864	5085
4864	5089
4864	5097
4864	5109
4864	5113
4864	5144
4864	5184
4864	5192
4864	5219
4864	5223
4864	5234
4864	5262
4864	5266
4864	5284
4864	5302
4864	5374
4864	5379
4864	5412
4864	5425
4864	5459
4864	5477
4864	5541
4864	5561
4864	5563
4864	5583
4864	5603
4864	5610
4864	5628
4864	5646
4864	5647
4864	5649
4864	5663
4864	5665
4864	5666
4864	5688
4864	5697
4864	5699
4864	5729
4864	5732
4864	5739
4864	5770
4864	5771
4864	5773
4864	5800
4864	5802
4864	5816
4864	5827
4864	5835
4864	5844
4864	5854
4864	5873
4864	5879
4864	5885
4864	5902
4864	5905
4864	5912
4864	5931
4864	5953
4864	5957
4864	5962
4864	5963
4864	5976
4864	6004
4864	6010
4864	6049
4864	6082
4864	6089
4864	6094
4864	6096
4864	6118
4864	6126
4864	6129
4864	6247
4864	6265
4864	6274
4864	6281
4864	6324
4864	6336
4864	6362
4864	6370
4864	6384
4864	6389
4864	6393
4864	6396
4864	6399
4864	6412
4864	6432
4864	6438
4864	6440
4864	6442
4864	6446
4864	6447
4864	6456
4864	6487
4864	6492
4864	6502
4864	6515
4864	6540
4864	6548
4864	6549
4864	6627
4864	6634
4864	6666
4864	6671
4864	6686
4864	6688
4864	6727
4864	6730
4864	6768
4864	6789
4864	6826
4864	6831
4864	6838
4864	6901
4864	6905
4864	6911
4864	6929
4864	6934
4864	6964
4864	6974
4864	6976
4864	6982
4864	6985
4864	6986
4864	7012
4864	7043
4864	7058
4864	7089
4864	7115
4864	7117
4864	7128
4864	7141
4864	7142
4864	7154
4864	7167
4864	7190
4864	7207
4864	7248
4864	7249
4864	7282
4864	7330
4864	7348
4864	7363
4864	7375
4864	7388
4864	7409
4864	7433
4864	7476
4864	7493
4864	7504
4864	7543
4864	7571
4864	7574
4864	7656
4864	7670
